,date,open,high,low,close,volume,ratio
73,108/02/22,235.50,236.50,234.00,236.50,21966,1.0
74,108/02/21,235.50,236.50,234.50,236.50,33677,1.0085
75,108/02/20,231.50,234.50,231.00,234.50,30384,1.024
76,108/02/19,230.00,230.50,229.00,229.00,16548,0.9957
77,108/02/18,229.00,230.50,228.50,230.00,16931,1.0132
78,108/02/15,229.00,229.00,226.50,227.00,22317,1.0
79,108/02/14,229.50,230.00,226.00,227.00,23602,0.9913
80,108/02/13,232.00,232.00,228.50,229.00,28537,0.9957
81,108/02/12,230.00,230.00,229.00,230.00,29363,1.0088
82,108/02/11,228.00,229.00,226.50,228.00,78213,1.0317
83,108/01/30,220.50,221.50,220.00,221.00,44721,0.9933
84,108/01/29,222.50,225.00,222.00,222.50,41050,0.9716
85,108/01/28,229.50,229.50,228.00,229.00,25986,1.0133
86,108/01/25,226.50,227.00,225.00,226.00,46600,1.0157
87,108/01/24,222.50,222.50,220.50,222.50,26371,1.0091
88,108/01/23,221.50,222.00,220.00,220.50,16644,0.9888
89,108/01/22,220.00,223.00,219.00,223.00,28896,1.009
90,108/01/21,220.00,223.00,220.00,221.00,29332,1.0114
91,108/01/18,219.00,220.00,217.50,218.50,49504,0.9909
92,108/01/17,218.00,221.00,218.00,220.50,21106,1.0138
93,108/01/16,218.50,220.00,217.50,217.50,28919,0.9842
94,108/01/15,216.50,221.00,215.50,221.00,38786,1.0114
95,108/01/14,218.50,220.00,217.00,218.50,17564,0.9909
96,108/01/11,219.00,220.50,218.00,220.50,28055,1.0208
97,108/01/10,216.00,216.50,214.50,216.00,20712,1.0023
98,108/01/09,212.00,216.50,211.00,215.50,46211,1.0213
99,108/01/08,212.00,212.50,210.00,211.00,22642,0.9906
100,108/01/07,212.00,214.00,211.00,213.00,35366,1.024
101,108/01/04,211.50,211.50,206.50,208.00,65822,0.9652
102,108/01/03,214.00,218.00,214.00,215.50,34030,0.9818
103,108/01/02,226.50,226.50,219.00,219.50,32850,0.9734
104,107/12/28,223.50,225.50,222.50,225.50,29400,1.0112
105,107/12/27,222.00,224.00,220.50,223.00,21452,1.03
106,107/12/26,218.50,219.50,216.00,216.50,16425,0.9954
107,107/12/25,215.50,218.00,215.00,217.50,19366,0.9886
108,107/12/24,221.50,221.50,219.50,220.00,22956,0.9932
109,107/12/22,220.00,221.50,220.00,221.50,5152,0.9911
110,107/12/21,219.00,224.00,219.00,223.50,43487,1.0113
111,107/12/20,221.00,222.50,221.00,221.00,35012,0.98
112,107/12/19,222.00,225.50,222.00,225.50,23373,1.0135
113,107/12/18,221.00,223.00,220.50,222.50,30186,0.9955
114,107/12/17,221.00,225.00,220.00,223.50,18925,1.0045
115,107/12/14,223.00,223.50,220.50,222.50,38620,0.9845
116,107/12/13,227.00,227.50,225.00,226.00,32072,0.9978
117,107/12/12,223.50,227.00,222.50,226.50,26413,1.018
118,107/12/11,220.00,223.00,219.00,222.50,27357,1.016
119,107/12/10,219.50,220.00,218.50,219.00,19406,0.991
120,107/12/07,222.50,223.50,220.50,221.00,25046,1.0045
121,107/12/06,220.00,222.00,219.50,220.00,40114,0.9735
122,107/12/05,226.50,227.50,225.00,226.00,42792,0.9658
123,107/12/04,233.00,234.50,231.00,234.00,39725,0.9957
124,107/12/03,231.00,235.00,231.00,235.00,45299,1.0421
125,107/11/30,229.50,231.00,225.50,225.50,55804,0.9847
126,107/11/29,231.50,231.50,229.00,229.00,44364,1.011
127,107/11/28,222.50,227.00,222.00,226.50,24415,1.0112
128,107/11/27,220.00,224.50,219.00,224.00,26569,1.0045
129,107/11/26,219.00,224.00,218.50,223.00,30583,1.0206
130,107/11/23,220.50,220.50,217.00,218.50,14843,0.9977
131,107/11/22,221.50,222.00,219.00,219.00,21899,1.0
132,107/11/21,214.50,220.00,214.00,219.00,35173,1.0046
133,107/11/20,219.00,220.50,218.00,218.00,41513,0.982
134,107/11/19,225.00,225.00,221.00,222.00,48901,0.9823
135,107/11/16,229.00,229.00,225.00,226.00,46710,0.9784
136,107/11/15,229.50,232.00,228.50,231.00,22061,1.0109
137,107/11/14,230.00,231.00,228.50,228.50,20006,1.0044
138,107/11/13,224.50,228.00,224.50,227.50,36082,0.9827
139,107/11/12,230.00,234.50,230.00,231.50,23217,1.0022
140,107/11/09,234.50,234.50,231.00,231.00,23198,0.9767
141,107/11/08,237.50,237.50,236.00,236.50,24723,1.0107
